S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.41252	0.20314	2.0151e-002	0.	3.149e+005
0.41401	0.20463	2.0025e-002	0.	2.9677e+005
0.41551	0.20611	1.9898e-002	0.	2.788e+005
0.417	0.2076	1.9769e-002	0.	2.6097e+005
0.41849	0.20909	1.9638e-002	0.	2.4329e+005
0.41999	0.21057	1.9505e-002	0.	2.2576e+005
0.42148	0.21206	1.9371e-002	0.	2.0838e+005
0.42297	0.21355	1.9234e-002	0.	1.9116e+005
0.42446	0.21503	1.9096e-002	0.	1.7409e+005
0.42596	0.21652	1.8957e-002	0.	1.5719e+005
0.42745	0.21801	1.8815e-002	0.	1.4043e+005
0.42894	0.21949	1.8672e-002	0.	1.2385e+005
0.43044	0.22098	1.8527e-002	0.	1.0743e+005
0.43193	0.22246	1.838e-002	0.	91176
0.43342	0.22395	1.8231e-002	0.	75094
0.43491	0.22543	1.8081e-002	0.	59175
0.43641	0.22692	1.793e-002	0.	43439
0.4379	0.2284	1.7777e-002	0.	27866
0.43939	0.22989	1.7622e-002	0.	12475
0.44088	0.23137	1.7466e-002	0.	-2740.7
0.44238	0.23286	1.7308e-002	0.	-17780
0.44387	0.23434	1.7149e-002	0.	-32632
0.44536	0.23583	1.6989e-002	0.	-47311
0.44686	0.23731	1.6827e-002	0.	-61799
0.44835	0.23879	1.6664e-002	0.	-76108
0.44984	0.24028	1.65e-002	0.	-90229
0.45133	0.24176	1.6335e-002	0.	-1.0416e+005
0.45283	0.24325	1.6168e-002	0.	-1.1791e+005
0.45432	0.24473	1.6e-002	0.	-1.3146e+005
0.45581	0.24621	1.5831e-002	0.	-1.4482e+005
0.45731	0.24769	1.566e-002	0.	-1.5799e+005
0.4588	0.24918	1.5489e-002	0.	-1.7096e+005
0.46029	0.25066	1.5316e-002	0.	-1.8374e+005
0.46178	0.25214	1.5142e-002	0.	-1.9632e+005
0.46328	0.25363	1.4966e-002	0.	-2.087e+005
0.46477	0.25511	1.4789e-002	0.	-2.2087e+005
0.46626	0.25659	1.461e-002	0.	-2.3285e+005
0.46775	0.25807	1.4431e-002	0.	-2.4462e+005
0.46925	0.25955	1.4249e-002	0.	-2.5617e+005
0.47074	0.26103	1.4066e-002	0.	-2.6753e+005
0.47223	0.26252	1.3882e-002	0.	-2.7867e+005
0.47373	0.264	1.3696e-002	0.	-2.896e+005
0.47522	0.26548	1.3508e-002	0.	-3.0032e+005
0.47671	0.26696	1.3319e-002	0.	-3.1081e+005
0.4782	0.26844	1.3128e-002	0.	-3.211e+005
0.4797	0.26992	1.2936e-002	0.	-3.3116e+005
0.48119	0.2714	1.2742e-002	0.	-3.4101e+005
0.48268	0.27288	1.2546e-002	0.	-3.5063e+005
0.48417	0.27436	1.2349e-002	0.	-3.6003e+005
0.48567	0.27584	1.215e-002	0.	-3.692e+005
0.48716	0.27732	1.195e-002	0.	-3.7814e+005
0.48865	0.2788	1.1748e-002	0.	-3.8686e+005
0.49015	0.28028	1.1545e-002	0.	-3.9535e+005
0.49164	0.28175	1.134e-002	0.	-4.036e+005
0.49313	0.28323	1.1134e-002	0.	-4.1163e+005
0.49462	0.28471	1.0926e-002	0.	-4.1942e+005
0.49612	0.28619	1.0717e-002	0.	-4.2697e+005
0.49761	0.28767	1.0507e-002	0.	-4.3428e+005
0.4991	0.28915	1.0296e-002	0.	-4.4137e+005
0.5006	0.29062	1.0083e-002	0.	-4.482e+005
0.50209	0.2921	9.8688e-003	0.	-4.548e+005
0.50358	0.29358	9.6536e-003	0.	-4.6115e+005
0.50507	0.29505	9.4371e-003	0.	-4.6726e+005
0.50657	0.29653	9.2195e-003	0.	-4.7313e+005
0.50806	0.29801	9.0007e-003	0.	-4.7874e+005
0.50955	0.29948	8.7807e-003	0.	-4.8411e+005
0.51104	0.30096	8.5595e-003	0.	-4.8923e+005
0.51254	0.30244	8.3372e-003	0.	-4.941e+005
0.51403	0.30391	8.1137e-003	0.	-4.9871e+005
0.51552	0.30539	7.889e-003	0.	-5.0307e+005
0.51702	0.30686	7.6631e-003	0.	-5.0717e+005
0.51851	0.30834	7.4359e-003	0.	-5.1101e+005
0.52	0.30981	7.2075e-003	0.	-5.1459e+005
0.52149	0.31129	6.9777e-003	0.	-5.1792e+005
0.52299	0.31276	6.7465e-003	0.	-5.2097e+005
0.52448	0.31424	6.5139e-003	0.	-5.2376e+005
0.52597	0.31571	6.2798e-003	0.	-5.2628e+005
0.52747	0.31719	6.0441e-003	0.	-5.2853e+005
0.52896	0.31866	5.8067e-003	0.	-5.3051e+005
0.53045	0.32013	5.5676e-003	0.	-5.3222e+005
0.53194	0.32161	5.3266e-003	0.	-5.3364e+005
0.53344	0.32308	5.0838e-003	0.	-5.348e+005
0.53493	0.32455	4.8392e-003	0.	-5.3568e+005
0.53642	0.32603	4.5927e-003	0.	-5.3628e+005
0.53791	0.3275	4.3446e-003	0.	-5.3661e+005
0.53941	0.32897	4.0947e-003	0.	-5.3667e+005
0.5409	0.33044	3.8435e-003	0.	-5.3646e+005
0.54239	0.33191	3.5909e-003	0.	-5.3597e+005
0.54389	0.33338	3.3374e-003	0.	-5.3522e+005
0.54538	0.33485	3.083e-003	0.	-5.3419e+005
0.54687	0.33632	2.8278e-003	0.	-5.3288e+005
0.54836	0.3378	2.5721e-003	0.	-5.3129e+005
0.54986	0.33927	2.316e-003	0.	-5.2942e+005
0.55135	0.34074	2.0595e-003	0.	-5.2726e+005
0.55284	0.34221	1.8027e-003	0.	-5.2483e+005
0.55434	0.34368	1.5457e-003	0.	-5.221e+005
0.55583	0.34515	1.2884e-003	0.	-5.1909e+005
0.55732	0.34662	1.031e-003	0.	-5.1579e+005
0.55881	0.34809	7.7348e-004	0.	-5.122e+005
0.56031	0.34956	5.1578e-004	0.	-5.0831e+005
0.5618	0.35103	2.5795e-004	0.	4.8133e+005
0.56329	0.3525	-8.3267e-019	0.	1332.2
0.56479	0.35101	-1.0039e-004	0.	5.0149e+005
